UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Current Status
779.0,P00779,H,303.8,309.0,1568.0,47.9,204.0,1.0,Mechanical Failure,
264.0,P00264,H,299.5,305.2,1451.0,40.0,111.0,0.0,No Failure,
160.0,P00160,M,295.3,303.9,1525.0,31.5,43.0,0.0,No Failure,
722.0,P00722,H,304.5,309.0,1592.0,47.8,212.0,1.0,Heat Failure,
321.0,P00321,M,301.9,307.8,1510.0,37.5,95.0,0.0,No Failure,
41.0,P00041,M,297.2,306.6,1445.0,43.6,94.0,0.0,No Failure,
105.0,P00105,H,295.4,302.4,1474.0,39.8,47.0,0.0,No Failure,
904.0,P00904,H,304.9,308.6,1571.0,48.1,224.0,1.0,Heat Failure,
897.0,P00897,M,303.3,308.6,1586.0,45.3,249.0,1.0,Heat Failure,
672.0,P00672,H,303.8,308.9,1573.0,47.9,222.0,1.0,Power Failure,
564.0,P00564,L,303.9,308.2,1591.0,48.4,236.0,1.0,Power Failure,
170.0,P00170,L,296.2,304.4,1540.0,44.8,100.0,0.0,No Failure,
166.0,P00166,L,301.5,305.8,1542.0,38.8,59.0,0.0,No Failure,
827.0,P00827,M,304.1,309.1,1596.0,48.8,242.0,1.0,Power Failure,
907.0,P00907,H,303.7,308.2,1594.0,48.8,228.0,1.0,Power Failure,
701.0,P00701,H,303.5,309.0,1570.0,46.8,217.0,1.0,Heat Failure,
342.0,P00342,M,295.8,302.1,1480.0,39.5,110.0,0.0,No Failure,
991.0,P00991,L,304.2,308.4,1579.0,47.6,225.0,1.0,Heat Failure,
816.0,P00816,H,303.4,309.9,1599.0,49.7,228.0,1.0,Heat Failure,
986.0,P00986,L,304.1,309.7,1570.0,46.7,207.0,1.0,Mechanical Failure,
12.0,P00012,L,300.3,301.6,1529.0,43.4,76.0,0.0,No Failure,
919.0,P00919,H,303.1,309.1,1554.0,49.9,231.0,1.0,Power Failure,
295.0,P00295,M,300.5,307.2,1488.0,34.9,20.0,0.0,No Failure,
577.0,P00577,M,304.6,309.2,1556.0,46.0,219.0,1.0,Power Failure,
575.0,P00575,M,304.7,309.9,1555.0,46.2,200.0,1.0,Power Failure,
147.0,P00147,L,302.8,300.4,1501.0,43.1,23.0,0.0,No Failure,
647.0,P00647,H,304.7,309.3,1558.0,48.9,218.0,1.0,Heat Failure,
198.0,P00198,H,301.9,307.9,1463.0,36.4,131.0,0.0,No Failure,
833.0,P00833,L,304.0,308.2,1565.0,47.5,220.0,1.0,Heat Failure,
57.0,P00057,L,299.2,306.8,1514.0,35.3,168.0,0.0,No Failure,
591.0,P00591,L,304.6,308.0,1583.0,45.9,226.0,1.0,Power Failure,
193.0,P00193,M,301.1,303.3,1493.0,33.3,24.0,0.0,No Failure,
130.0,P00130,L,296.8,300.6,1535.0,40.4,0.0,0.0,No Failure,
53.0,P00053,M,300.5,307.6,1456.0,31.2,119.0,0.0,No Failure,
341.0,P00341,H,301.1,304.0,1489.0,37.0,154.0,0.0,No Failure,
252.0,P00252,L,297.7,302.3,1530.0,35.6,134.0,0.0,No Failure,
953.0,P00953,L,303.6,309.9,1573.0,45.2,236.0,1.0,Mechanical Failure,
372.0,P00372,L,295.1,304.9,1534.0,38.0,156.0,0.0,No Failure,
915.0,P00915,M,304.5,309.6,1594.0,47.9,235.0,1.0,Mechanical Failure,
215.0,P00215,L,301.5,304.3,1532.0,34.6,129.0,0.0,No Failure,
999.0,P00999,M,303.3,308.4,1566.0,48.4,226.0,1.0,Power Failure,
151.0,P00151,H,296.0,304.8,1457.0,42.7,174.0,0.0,No Failure,
559.0,P00559,H,304.2,308.5,1561.0,45.0,249.0,1.0,Heat Failure,
13.0,P00013,M,300.8,304.5,1436.0,44.6,178.0,0.0,No Failure,
952.0,P00952,M,304.8,308.4,1564.0,47.3,213.0,1.0,Heat Failure,
352.0,P00352,H,296.6,304.2,1440.0,37.5,182.0,0.0,No Failure,
541.0,P00541,H,303.9,308.4,1597.0,48.6,223.0,1.0,Power Failure,
500.0,P00500,L,296.3,304.3,1508.0,33.6,154.0,0.0,No Failure,
254.0,P00254,L,297.7,300.0,1521.0,42.5,7.0,0.0,No Failure,
247.0,P00247,M,297.9,302.5,1510.0,33.9,107.0,0.0,No Failure,
661.0,P00661,M,304.6,309.7,1592.0,46.5,214.0,1.0,Heat Failure,
487.0,P00487,L,301.0,302.7,1482.0,34.2,124.0,0.0,No Failure,
178.0,P00178,M,302.9,302.9,1411.0,39.7,190.0,0.0,No Failure,
349.0,P00349,H,300.8,303.3,1410.0,40.0,78.0,0.0,No Failure,
768.0,P00768,M,304.7,308.8,1556.0,47.2,230.0,1.0,Power Failure,
839.0,P00839,H,303.6,309.9,1562.0,45.9,208.0,1.0,Power Failure,
720.0,P00720,L,303.8,309.0,1593.0,46.9,232.0,1.0,Heat Failure,
789.0,P00789,H,303.8,309.3,1578.0,45.3,218.0,1.0,Power Failure,
146.0,P00146,H,298.3,304.8,1447.0,33.0,143.0,0.0,No Failure,
387.0,P00387,M,295.8,306.4,1536.0,34.2,189.0,0.0,No Failure,
62.0,P00062,L,302.0,306.4,1489.0,36.5,65.0,0.0,No Failure,
579.0,P00579,L,303.2,309.6,1556.0,49.6,236.0,1.0,Power Failure,
87.0,P00087,M,299.8,305.2,1484.0,39.6,187.0,0.0,No Failure,
619.0,P00619,H,303.3,308.4,1599.0,48.9,208.0,1.0,Mechanical Failure,
922.0,P00922,H,303.9,309.9,1562.0,46.7,207.0,1.0,Power Failure,
335.0,P00335,H,301.8,303.3,1492.0,33.8,50.0,0.0,No Failure,
671.0,P00671,L,304.3,308.5,1552.0,45.3,205.0,1.0,Mechanical Failure,
191.0,P00191,M,300.3,303.5,1491.0,36.1,120.0,0.0,No Failure,
774.0,P00774,L,303.9,308.7,1571.0,46.7,213.0,1.0,Heat Failure,
403.0,P00403,M,298.9,302.1,1469.0,36.7,180.0,0.0,No Failure,
490.0,P00490,L,302.9,305.5,1537.0,39.7,69.0,0.0,No Failure,
337.0,P00337,L,298.8,301.8,1467.0,40.6,35.0,0.0,No Failure,
604.0,P00604,M,303.2,308.7,1597.0,48.8,208.0,1.0,Mechanical Failure,
882.0,P00882,L,304.9,309.5,1592.0,46.1,235.0,1.0,Power Failure,
211.0,P00211,M,300.9,306.8,1472.0,36.2,34.0,0.0,No Failure,
990.0,P00990,L,304.7,308.8,1593.0,45.7,212.0,1.0,Power Failure,
920.0,P00920,H,303.3,309.1,1552.0,48.1,205.0,1.0,Heat Failure,
677.0,P00677,H,303.2,309.0,1597.0,46.7,230.0,1.0,Power Failure,
830.0,P00830,M,303.6,309.2,1559.0,48.6,234.0,1.0,Mechanical Failure,
617.0,P00617,H,303.4,309.2,1581.0,47.1,241.0,1.0,Power Failure,
484.0,P00484,M,299.3,306.9,1407.0,36.2,100.0,0.0,No Failure,
994.0,P00994,M,303.8,309.1,1569.0,45.3,248.0,1.0,Heat Failure,
8.0,P00008,L,296.1,303.9,1429.0,44.2,69.0,0.0,No Failure,
979.0,P00979,L,303.9,308.7,1568.0,47.8,206.0,1.0,Heat Failure,
69.0,P00069,M,295.6,304.9,1462.0,30.8,37.0,0.0,No Failure,
409.0,P00409,H,296.9,301.7,1508.0,38.5,124.0,0.0,No Failure,
186.0,P00186,L,297.7,302.2,1432.0,40.3,75.0,0.0,No Failure,
667.0,P00667,H,304.8,308.4,1558.0,48.0,232.0,1.0,Power Failure,
875.0,P00875,M,303.2,308.9,1553.0,47.2,235.0,1.0,Heat Failure,
184.0,P00184,M,295.4,306.7,1448.0,32.4,53.0,0.0,No Failure,
296.0,P00296,H,296.5,303.6,1498.0,39.1,51.0,0.0,No Failure,
95.0,P00095,L,298.9,307.3,1531.0,34.5,184.0,0.0,No Failure,
250.0,P00250,M,299.7,302.1,1475.0,43.7,67.0,0.0,No Failure,
573.0,P00573,H,304.4,309.7,1579.0,46.1,249.0,1.0,Heat Failure,
649.0,P00649,L,303.8,309.7,1594.0,47.0,204.0,1.0,Heat Failure,
326.0,P00326,M,300.3,303.5,1426.0,36.1,92.0,0.0,No Failure,
758.0,P00758,L,304.3,308.5,1558.0,48.7,229.0,1.0,Power Failure,
334.0,P00334,M,295.9,302.0,1505.0,41.7,118.0,0.0,No Failure,
308.0,P00308,M,297.6,304.8,1408.0,35.5,79.0,0.0,No Failure,
796.0,P00796,H,303.5,308.5,1599.0,49.2,237.0,1.0,Heat Failure,
608.0,P00608,M,303.0,309.5,1583.0,45.1,226.0,1.0,Heat Failure,
420.0,P00420,H,298.0,300.3,1433.0,34.9,154.0,0.0,No Failure,
785.0,P00785,H,303.4,309.2,1599.0,48.6,203.0,1.0,Mechanical Failure,
534.0,P00534,H,303.0,309.3,1571.0,47.5,204.0,1.0,Heat Failure,
759.0,P00759,H,303.4,309.5,1563.0,49.7,235.0,1.0,Heat Failure,
470.0,P00470,L,301.7,304.8,1510.0,39.2,133.0,0.0,No Failure,
887.0,P00887,L,304.0,308.3,1586.0,47.5,237.0,1.0,Heat Failure,
540.0,P00540,H,303.7,309.7,1572.0,47.3,246.0,1.0,Mechanical Failure,
695.0,P00695,H,304.8,309.0,1598.0,45.3,202.0,1.0,Mechanical Failure,
678.0,P00678,H,304.8,309.6,1584.0,45.8,205.0,1.0,Heat Failure,
690.0,P00690,L,304.3,309.5,1554.0,47.6,206.0,1.0,Power Failure,
698.0,P00698,H,303.8,309.8,1551.0,47.8,201.0,1.0,Power Failure,
288.0,P00288,L,297.3,305.6,1411.0,38.1,34.0,0.0,No Failure,
480.0,P00480,H,298.1,302.2,1530.0,33.8,51.0,0.0,No Failure,
478.0,P00478,M,299.1,304.4,1400.0,31.1,28.0,0.0,No Failure,
574.0,P00574,H,304.1,309.6,1587.0,46.3,244.0,1.0,Mechanical Failure,
587.0,P00587,M,303.7,309.7,1570.0,49.9,218.0,1.0,Power Failure,
639.0,P00639,L,304.3,308.7,1570.0,48.2,236.0,1.0,Power Failure,
450.0,P00450,L,295.9,301.4,1412.0,41.7,138.0,0.0,No Failure,
276.0,P00276,L,297.4,304.0,1504.0,39.0,143.0,0.0,No Failure,
961.0,P00961,L,304.0,309.4,1570.0,49.6,232.0,1.0,Power Failure,
243.0,P00243,H,299.7,305.4,1456.0,45.0,171.0,0.0,No Failure,
929.0,P00929,L,303.5,309.0,1573.0,46.3,240.0,1.0,Power Failure,
194.0,P00194,H,296.7,301.2,1444.0,40.0,175.0,0.0,No Failure,
228.0,P00228,H,302.2,300.9,1413.0,39.6,134.0,0.0,No Failure,
554.0,P00554,H,303.2,309.2,1598.0,48.0,237.0,1.0,Mechanical Failure,
978.0,P00978,L,304.8,308.2,1568.0,49.2,232.0,1.0,Heat Failure,
641.0,P00641,M,304.4,308.1,1550.0,48.4,225.0,1.0,Mechanical Failure,
467.0,P00467,M,300.4,304.1,1492.0,30.8,127.0,0.0,No Failure,
794.0,P00794,H,304.4,309.7,1591.0,45.9,232.0,1.0,Power Failure,
92.0,P00092,H,297.0,304.5,1521.0,30.6,31.0,0.0,No Failure,
212.0,P00212,H,301.9,305.0,1497.0,37.0,12.0,0.0,No Failure,
153.0,P00153,L,302.2,305.8,1487.0,35.6,68.0,0.0,No Failure,
224.0,P00224,H,295.8,300.6,1549.0,33.2,44.0,0.0,No Failure,
412.0,P00412,M,297.1,301.2,1470.0,37.7,72.0,0.0,No Failure,
348.0,P00348,H,296.4,303.5,1487.0,41.0,119.0,0.0,No Failure,
543.0,P00543,L,303.1,309.0,1591.0,45.7,222.0,1.0,Power Failure,
803.0,P00803,M,303.7,308.4,1561.0,49.4,220.0,1.0,Mechanical Failure,
235.0,P00235,M,298.1,305.7,1510.0,33.8,182.0,0.0,No Failure,
122.0,P00122,L,298.8,305.8,1408.0,35.3,39.0,0.0,No Failure,
419.0,P00419,L,301.5,306.0,1494.0,39.0,90.0,0.0,No Failure,
507.0,P00507,H,303.8,308.4,1592.0,46.9,234.0,1.0,Mechanical Failure,
11.0,P00011,L,296.1,302.7,1447.0,34.5,188.0,0.0,No Failure,
707.0,P00707,H,303.1,308.4,1561.0,45.9,211.0,1.0,Power Failure,
642.0,P00642,L,303.6,308.5,1553.0,46.0,211.0,1.0,Power Failure,
689.0,P00689,H,304.8,309.7,1596.0,46.4,237.0,1.0,Power Failure,
863.0,P00863,M,305.0,308.7,1562.0,48.8,239.0,1.0,Heat Failure,
837.0,P00837,H,304.4,309.2,1592.0,45.5,204.0,1.0,Mechanical Failure,
599.0,P00599,M,303.6,309.2,1594.0,46.8,235.0,1.0,Mechanical Failure,
960.0,P00960,M,304.4,308.9,1555.0,47.3,239.0,1.0,Power Failure,
521.0,P00521,L,304.4,309.0,1556.0,48.6,247.0,1.0,Power Failure,
366.0,P00366,L,297.4,302.2,1518.0,43.7,183.0,0.0,No Failure,
309.0,P00309,L,295.3,300.5,1517.0,37.6,152.0,0.0,No Failure,
878.0,P00878,H,304.2,308.1,1598.0,46.6,227.0,1.0,Mechanical Failure,
557.0,P00557,M,303.3,310.0,1572.0,46.6,232.0,1.0,Power Failure,
416.0,P00416,H,301.2,304.7,1434.0,43.5,181.0,0.0,No Failure,
548.0,P00548,M,304.1,309.1,1566.0,45.6,206.0,1.0,Power Failure,
834.0,P00834,L,304.5,309.0,1555.0,45.1,220.0,1.0,Mechanical Failure,
752.0,P00752,L,303.0,308.8,1578.0,45.0,222.0,1.0,Power Failure,
220.0,P00220,M,302.3,305.4,1415.0,32.9,181.0,0.0,No Failure,
258.0,P00258,L,302.5,304.9,1422.0,42.3,39.0,0.0,No Failure,
519.0,P00519,H,303.2,309.7,1575.0,48.9,249.0,1.0,Power Failure,
93.0,P00093,L,301.7,306.8,1504.0,43.7,149.0,0.0,No Failure,
32.0,P00032,L,302.1,301.0,1543.0,34.3,7.0,0.0,No Failure,
128.0,P00128,L,295.2,302.0,1452.0,44.2,140.0,0.0,No Failure,
315.0,P00315,M,300.8,301.6,1400.0,38.2,194.0,0.0,No Failure,
424.0,P00424,L,295.6,304.4,1495.0,34.9,137.0,0.0,No Failure,
520.0,P00520,L,304.9,310.0,1556.0,46.1,207.0,1.0,Heat Failure,
195.0,P00195,H,297.6,304.2,1461.0,44.6,159.0,0.0,No Failure,
55.0,P00055,M,300.1,302.5,1497.0,35.8,31.0,0.0,No Failure,
468.0,P00468,M,300.3,306.5,1473.0,44.1,199.0,0.0,No Failure,
445.0,P00445,L,295.7,308.0,1522.0,40.0,195.0,0.0,No Failure,
100.0,P00100,M,296.2,307.7,1413.0,34.5,181.0,0.0,No Failure,
371.0,P00371,H,302.1,304.6,1430.0,31.8,146.0,0.0,No Failure,
227.0,P00227,M,302.7,301.9,1453.0,31.9,41.0,0.0,No Failure,
230.0,P00230,L,295.8,301.8,1504.0,32.0,59.0,0.0,No Failure,
97.0,P00097,L,300.1,304.4,1525.0,30.5,46.0,0.0,No Failure,
106.0,P00106,M,298.7,306.0,1428.0,36.6,4.0,0.0,No Failure,
535.0,P00535,H,303.5,309.3,1588.0,46.1,240.0,1.0,Heat Failure,
547.0,P00547,H,303.3,309.1,1577.0,45.9,207.0,1.0,Power Failure,
370.0,P00370,L,296.3,306.6,1478.0,30.0,54.0,0.0,No Failure,
177.0,P00177,H,298.2,305.0,1524.0,36.4,106.0,0.0,No Failure,
660.0,P00660,M,304.1,308.7,1587.0,50.0,247.0,1.0,Heat Failure,
333.0,P00333,H,300.6,304.9,1516.0,30.7,147.0,0.0,No Failure,
891.0,P00891,L,304.8,309.3,1588.0,48.2,229.0,1.0,Heat Failure,
31.0,P00031,H,298.1,300.8,1505.0,38.0,187.0,0.0,No Failure,
82.0,P00082,H,296.0,304.1,1465.0,32.4,175.0,0.0,No Failure,
30.0,P00030,H,297.8,303.4,1431.0,31.8,106.0,0.0,No Failure,
894.0,P00894,M,304.6,308.6,1596.0,46.4,228.0,1.0,Heat Failure,
514.0,P00514,H,305.0,309.4,1576.0,47.8,217.0,1.0,Power Failure,
996.0,P00996,L,304.3,309.6,1580.0,47.1,215.0,1.0,Mechanical Failure,
783.0,P00783,L,303.9,308.3,1576.0,47.5,237.0,1.0,Heat Failure,
142.0,P00142,H,297.4,308.0,1403.0,32.5,197.0,0.0,No Failure,
50.0,P00050,H,300.3,306.2,1547.0,40.0,111.0,0.0,No Failure,
764.0,P00764,H,304.6,309.3,1578.0,46.3,213.0,1.0,Power Failure,
199.0,P00199,H,296.7,306.7,1474.0,36.7,165.0,0.0,No Failure,
924.0,P00924,H,303.3,309.8,1568.0,46.1,226.0,1.0,Mechanical Failure,
338.0,P00338,H,302.8,304.8,1527.0,44.2,66.0,0.0,No Failure,
236.0,P00236,M,298.3,305.0,1464.0,39.8,76.0,0.0,No Failure,
115.0,P00115,H,300.0,306.4,1424.0,41.1,65.0,0.0,No Failure,
466.0,P00466,M,302.5,302.3,1522.0,31.1,162.0,0.0,No Failure,
927.0,P00927,L,304.0,308.2,1584.0,46.6,224.0,1.0,Mechanical Failure,
281.0,P00281,M,299.0,303.5,1507.0,38.5,111.0,0.0,No Failure,
188.0,P00188,M,302.2,305.6,1475.0,31.0,10.0,0.0,No Failure,
654.0,P00654,M,303.9,309.1,1565.0,45.1,226.0,1.0,Mechanical Failure,
525.0,P00525,L,303.9,309.2,1594.0,45.0,226.0,1.0,Mechanical Failure,
331.0,P00331,H,300.0,300.6,1467.0,44.8,159.0,0.0,No Failure,
439.0,P00439,L,300.8,305.1,1500.0,32.2,177.0,0.0,No Failure,
843.0,P00843,H,304.7,308.7,1553.0,48.7,243.0,1.0,Power Failure,
357.0,P00357,L,302.4,302.9,1464.0,30.6,197.0,0.0,No Failure,
117.0,P00117,H,298.4,307.1,1535.0,38.6,71.0,0.0,No Failure,
984.0,P00984,L,303.4,309.7,1575.0,45.6,248.0,1.0,Mechanical Failure,
855.0,P00855,L,303.4,309.8,1587.0,49.5,233.0,1.0,Power Failure,
620.0,P00620,M,303.9,308.7,1563.0,46.0,201.0,1.0,Heat Failure,
963.0,P00963,H,303.1,308.4,1559.0,48.1,206.0,1.0,Power Failure,
5.0,P00005,H,299.1,304.8,1407.0,40.7,164.0,0.0,No Failure,
772.0,P00772,L,304.1,309.5,1554.0,46.3,200.0,1.0,Heat Failure,
486.0,P00486,M,297.4,303.3,1513.0,35.2,60.0,0.0,No Failure,
260.0,P00260,L,302.3,305.4,1408.0,43.1,144.0,0.0,No Failure,
628.0,P00628,L,303.8,309.8,1559.0,47.7,212.0,1.0,Heat Failure,
180.0,P00180,H,299.0,307.8,1415.0,42.2,144.0,0.0,No Failure,
810.0,P00810,M,303.4,308.2,1575.0,46.6,202.0,1.0,Power Failure,
169.0,P00169,M,302.7,306.4,1544.0,32.6,30.0,0.0,No Failure,
949.0,P00949,H,305.0,309.8,1595.0,50.0,208.0,1.0,Heat Failure,
728.0,P00728,L,303.8,309.2,1560.0,45.2,237.0,1.0,Power Failure,
313.0,P00313,H,298.6,304.7,1529.0,39.2,37.0,0.0,No Failure,
71.0,P00071,M,299.8,304.2,1503.0,39.3,169.0,0.0,No Failure,
787.0,P00787,M,304.8,308.8,1551.0,48.7,229.0,1.0,Mechanical Failure,
850.0,P00850,H,303.4,309.1,1589.0,49.9,231.0,1.0,Heat Failure,
512.0,P00512,H,303.5,309.6,1585.0,49.2,240.0,1.0,Heat Failure,
330.0,P00330,M,297.5,307.6,1422.0,38.9,94.0,0.0,No Failure,
753.0,P00753,M,304.2,309.9,1584.0,46.5,229.0,1.0,Mechanical Failure,
361.0,P00361,H,295.5,302.4,1462.0,41.2,181.0,0.0,No Failure,
33.0,P00033,H,301.5,303.3,1400.0,30.7,85.0,0.0,No Failure,
748.0,P00748,H,305.0,309.8,1586.0,49.5,213.0,1.0,Mechanical Failure,
856.0,P00856,M,303.7,308.8,1594.0,46.5,210.0,1.0,Heat Failure,
246.0,P00246,L,298.8,306.0,1414.0,33.4,31.0,0.0,No Failure,
670.0,P00670,H,304.6,310.0,1596.0,49.9,204.0,1.0,Power Failure,
610.0,P00610,H,304.9,309.3,1597.0,47.6,240.0,1.0,Power Failure,
158.0,P00158,H,296.1,307.1,1465.0,40.1,29.0,0.0,No Failure,
964.0,P00964,H,304.0,309.3,1585.0,48.9,218.0,1.0,Mechanical Failure,
506.0,P00506,M,304.2,308.7,1561.0,46.5,203.0,1.0,Power Failure,
446.0,P00446,L,299.5,305.8,1452.0,37.2,86.0,0.0,No Failure,
141.0,P00141,M,300.6,301.2,1472.0,38.2,69.0,0.0,No Failure,
66.0,P00066,H,296.4,307.3,1544.0,41.4,75.0,0.0,No Failure,
737.0,P00737,L,304.8,309.4,1593.0,45.1,229.0,1.0,Mechanical Failure,
836.0,P00836,H,303.1,309.6,1590.0,46.2,231.0,1.0,Power Failure,
120.0,P00120,L,302.7,304.7,1544.0,44.1,59.0,0.0,No Failure,
531.0,P00531,H,304.1,309.5,1580.0,46.3,239.0,1.0,Power Failure,
563.0,P00563,L,303.5,309.3,1598.0,46.3,202.0,1.0,Heat Failure,
172.0,P00172,M,296.5,306.0,1511.0,40.3,123.0,0.0,No Failure,
472.0,P00472,M,301.2,301.3,1488.0,31.4,137.0,0.0,No Failure,
148.0,P00148,H,300.2,300.8,1505.0,40.6,196.0,0.0,No Failure,
294.0,P00294,M,301.5,306.2,1449.0,36.2,142.0,0.0,No Failure,
605.0,P00605,L,304.3,309.4,1597.0,45.4,219.0,1.0,Mechanical Failure,
18.0,P00018,H,295.5,302.9,1521.0,30.1,39.0,0.0,No Failure,
937.0,P00937,H,303.2,308.7,1551.0,45.5,238.0,1.0,Heat Failure,
493.0,P00493,M,300.4,308.0,1482.0,30.5,190.0,0.0,No Failure,
644.0,P00644,L,304.9,308.2,1575.0,49.0,227.0,1.0,Power Failure,
910.0,P00910,H,303.6,309.4,1586.0,45.8,213.0,1.0,Power Failure,
483.0,P00483,L,295.8,307.5,1414.0,40.2,161.0,0.0,No Failure,
44.0,P00044,H,296.4,305.6,1546.0,30.8,58.0,0.0,No Failure,
621.0,P00621,L,304.9,309.0,1585.0,45.7,229.0,1.0,Mechanical Failure,
83.0,P00083,L,297.3,307.9,1543.0,44.7,199.0,0.0,No Failure,
899.0,P00899,L,303.5,309.0,1581.0,47.9,204.0,1.0,Mechanical Failure,
853.0,P00853,M,304.4,309.9,1567.0,48.3,243.0,1.0,Heat Failure,
581.0,P00581,L,303.9,309.1,1581.0,49.9,226.0,1.0,Mechanical Failure,
522.0,P00522,H,304.6,308.0,1557.0,49.0,220.0,1.0,Power Failure,
844.0,P00844,L,304.1,309.1,1571.0,45.8,233.0,1.0,Heat Failure,
972.0,P00972,M,303.0,308.1,1594.0,45.3,216.0,1.0,Heat Failure,
939.0,P00939,M,303.8,308.7,1584.0,45.1,209.0,1.0,Heat Failure,
208.0,P00208,M,300.0,307.0,1471.0,32.9,125.0,0.0,No Failure,
530.0,P00530,M,304.2,309.6,1586.0,49.3,234.0,1.0,Power Failure,
58.0,P00058,H,296.6,307.2,1441.0,34.8,193.0,0.0,No Failure,
306.0,P00306,L,299.7,301.6,1546.0,41.8,92.0,0.0,No Failure,
80.0,P00080,H,299.1,307.1,1446.0,31.6,79.0,0.0,No Failure,
568.0,P00568,L,303.5,308.9,1578.0,49.7,221.0,1.0,Heat Failure,
78.0,P00078,H,302.3,305.5,1425.0,40.8,81.0,0.0,No Failure,
429.0,P00429,L,299.0,303.3,1482.0,35.0,60.0,0.0,No Failure,
402.0,P00402,H,302.4,306.4,1471.0,33.7,114.0,0.0,No Failure,
499.0,P00499,M,300.0,302.9,1447.0,35.5,9.0,0.0,No Failure,
210.0,P00210,M,296.7,300.7,1445.0,35.9,61.0,0.0,No Failure,
511.0,P00511,L,304.7,308.6,1594.0,47.0,224.0,1.0,Heat Failure,
476.0,P00476,L,299.3,301.1,1488.0,34.6,159.0,0.0,No Failure,
714.0,P00714,H,304.7,308.8,1563.0,45.5,239.0,1.0,Heat Failure,
17.0,P00017,L,298.9,305.7,1453.0,36.4,0.0,0.0,No Failure,
204.0,P00204,L,299.7,302.2,1465.0,34.6,85.0,0.0,No Failure,
529.0,P00529,L,304.9,309.8,1570.0,45.9,242.0,1.0,Heat Failure,
312.0,P00312,M,298.9,305.3,1432.0,35.3,183.0,0.0,No Failure,
674.0,P00674,M,304.6,308.8,1559.0,47.4,213.0,1.0,Power Failure,
278.0,P00278,H,297.6,307.3,1499.0,31.6,145.0,0.0,No Failure,
275.0,P00275,L,295.7,307.4,1527.0,44.4,162.0,0.0,No Failure,
79.0,P00079,M,300.6,305.2,1422.0,31.2,115.0,0.0,No Failure,
36.0,P00036,M,302.3,305.3,1540.0,32.4,199.0,0.0,No Failure,
982.0,P00982,L,304.0,308.2,1568.0,47.0,204.0,1.0,Mechanical Failure,
886.0,P00886,H,303.4,309.5,1566.0,48.8,238.0,1.0,Mechanical Failure,
113.0,P00113,M,301.8,306.2,1503.0,32.9,140.0,0.0,No Failure,
773.0,P00773,M,303.9,308.8,1572.0,45.8,219.0,1.0,Power Failure,
715.0,P00715,H,304.5,310.0,1599.0,48.6,242.0,1.0,Heat Failure,
925.0,P00925,H,304.0,309.6,1589.0,46.3,206.0,1.0,Mechanical Failure,
704.0,P00704,L,304.4,309.6,1567.0,48.4,212.0,1.0,Heat Failure,
261.0,P00261,H,302.3,301.5,1412.0,37.7,193.0,0.0,No Failure,
744.0,P00744,L,304.9,309.2,1561.0,45.5,243.0,1.0,Mechanical Failure,
459.0,P00459,L,296.5,300.5,1519.0,38.4,87.0,0.0,No Failure,
389.0,P00389,M,303.0,302.3,1524.0,32.7,23.0,0.0,No Failure,
526.0,P00526,H,304.7,308.2,1559.0,47.3,218.0,1.0,Heat Failure,
297.0,P00297,M,301.6,304.4,1515.0,44.0,162.0,0.0,No Failure,
189.0,P00189,M,300.7,301.9,1414.0,40.4,60.0,0.0,No Failure,
562.0,P00562,M,304.9,309.2,1598.0,48.4,241.0,1.0,Heat Failure,
287.0,P00287,M,298.9,301.4,1424.0,40.0,172.0,0.0,No Failure,
782.0,P00782,H,303.7,308.3,1552.0,47.7,239.0,1.0,Heat Failure,
303.0,P00303,L,296.9,306.5,1468.0,42.3,126.0,0.0,No Failure,
386.0,P00386,L,295.7,306.4,1467.0,45.0,170.0,0.0,No Failure,
754.0,P00754,L,303.6,308.8,1560.0,45.5,229.0,1.0,Mechanical Failure,
818.0,P00818,H,303.9,309.8,1560.0,46.1,225.0,1.0,Mechanical Failure,
135.0,P00135,L,300.1,307.0,1447.0,37.1,32.0,0.0,No Failure,
775.0,P00775,M,303.2,308.8,1575.0,48.7,239.0,1.0,Power Failure,
592.0,P00592,H,305.0,309.1,1554.0,47.1,206.0,1.0,Power Failure,
916.0,P00916,H,303.2,308.8,1572.0,48.6,238.0,1.0,Power Failure,
214.0,P00214,M,300.4,301.7,1486.0,31.5,42.0,0.0,No Failure,
222.0,P00222,H,295.6,305.8,1460.0,30.3,145.0,0.0,No Failure,
709.0,P00709,H,304.5,308.9,1586.0,48.6,208.0,1.0,Power Failure,
627.0,P00627,H,303.6,309.9,1576.0,49.9,235.0,1.0,Power Failure,
241.0,P00241,L,298.6,307.8,1470.0,39.1,124.0,0.0,No Failure,
634.0,P00634,M,303.0,308.6,1582.0,48.5,210.0,1.0,Heat Failure,
864.0,P00864,L,303.8,308.0,1561.0,48.1,246.0,1.0,Power Failure,
129.0,P00129,H,298.3,303.9,1509.0,35.9,20.0,0.0,No Failure,
360.0,P00360,L,302.1,306.4,1537.0,32.2,9.0,0.0,No Failure,
930.0,P00930,M,304.0,309.7,1566.0,45.2,214.0,1.0,Heat Failure,
840.0,P00840,H,304.3,308.1,1567.0,45.1,217.0,1.0,Heat Failure,
436.0,P00436,L,300.3,301.1,1414.0,34.8,148.0,0.0,No Failure,
